1,Buenos Aires,Argentina
2,Santos,Brasil
3,Colon,Panamá
4,Manzanillo,México
5,Bahia de Cartagena,Colombia
6,El Callao,Perú
7,Guayaquil,Ecuador
8,Kingston,Jamaica
9,San Antonio,Chile
10,Montevideo,Uruguay
11,Puerto Cabello,Venezuela
12,Mariel,Cuba
13,Los Ángeles,USA
14,Vancouver,Canadá
15,Long Beach,USA
16,Rotterdam,Holanda
17,Hamburgo,Alemania
18,Valencia,España
19,El Pireo,Grecia
20,Felixstowe,Gran Bretaña
21,Copenhagen,Dinamarca
22,Helsingfors,Finlandia
23,Roma,Italia
24,Oslo,Noruega
25,Lisboa,Portugal
26,Stokolmo,Suecia
27,Kronshtadt,Rusia
28,Antwerp,Belgica
29,Brest,Francia
30,Shanghai,China
31,Port Klang,Malasia
32,Kaohsiung,Taiwan
33,Keihin ports,Japan
34,Laem Chabang,Tailandia
35,Tanjung Priok,Indonesia
36,Colombo,Sri Lanka
37,Busan,Corea del Sur
38,Singapur,Singapur
39,Shinho,Corea del Norte
40,Tanger Med,Marruecos
41,Estambul,Turquia
42,Port Elizabeth,Sudafrica
43,Port Said,Egipto
44,Luanda,Angola
45,Jeddah,Arabia Saudita
46,Jebel Ali,Emiratos Árabes Unidos
47,Mogadiscio,Somalia
48,Mundra,India
49,Sydney,Australia
50,Auckland,Nueva Zelanda
